ORDER_ID,OPER_KEY,OPER_NO,STEP_KEY,TITLE,OPER_STATUS,ACTUAL_INQUEUE_DATE,ACTUAL_START_DATE,ACTUAL_END_DATE,LAST_ACTIVITY_TIME_STAMP,UPDT_USERID,ASGND_CENTER_ID,ASGND_DEPARTMENT_ID,ASGND_LOCATION_ID,COMPLETE_QTY,SCRAP_QTY
LOC1-ORDID-1,1,10,-1,oper 0010 title,CLOSE,24/10/2024 19:55:16,24/10/2024 21:18:54,25/10/2024 01:06:33,25/10/2024 01:06:33,syf337,CEN1,DEP1,LOC1,0,0
LOC1-ORDID-1,2,20,-1,oper 0020 title,CLOSE,25/10/2024 01:06:33,25/10/2024 11:15:00,26/10/2024 05:23:47,26/10/2024 05:23:47,jak637,CEN1,DEP1,LOC1,0,0
LOC1-ORDID-1,3,30,-1,oper 0030 title,CLOSE,26/10/2024 05:23:47,26/10/2024 10:45:13,27/10/2024 02:23:30,27/10/2024 02:23:30,jak637,CEN2,DEP1,LOC1,0,0
LOC1-ORDID-1,4,40,-1,oper 0040 title,CLOSE,27/10/2024 02:23:30,27/10/2024 15:19:36,27/10/2024 15:31:29,27/10/2024 15:31:29,syf337,CEN3,DEP2,LOC1,0,0
LOC1-ORDID-1,5,50,-1,oper 0050 title,CLOSE,27/10/2024 15:31:29,27/10/2024 19:06:04,28/10/2024 08:06:35,28/10/2024 08:06:35,jak637,CEN3,DEP2,LOC1,0,0
LOC1-ORDID-1,6,60,-1,oper 0060 title,CLOSE,28/10/2024 08:06:35,28/10/2024 11:30:31,30/10/2024 01:32:55,30/10/2024 01:32:55,syf337,CEN4,DEP2,LOC1,0,0
LOC1-ORDID-1,7,70,-1,oper 0070 title,CLOSE,30/10/2024 01:32:55,30/10/2024 12:27:31,30/10/2024 17:06:15,30/10/2024 17:06:15,alx178,CEN5,DEP3,LOC1,0,0
LOC1-ORDID-1,8,80,-1,oper 0080 title,ACTIVE,30/10/2024 17:06:15,31/10/2024 05:58:21,,31/10/2024 05:58:21,ala901,CEN6,DEP5,LOC1,0,0
LOC1-ORDID-1,9,90,-1,oper 0090 title,PENDING,,,,,jak637,CEN6,DEP5,LOC1,0,0
LOC1-ORDID-1,10,100,-1,oper 0100 title,PENDING,,,,,sop888,CEN9,DEP5,LOC1,0,0
LOC1-ORDID-1,11,110,-1,oper 0110 title,PENDING,,,,,syf337,CEN9,DEP5,LOC1,0,0
LOC1-ORDID-1,12,120,-1,oper 0120 title,PENDING,,,,,jon717,CEN8,DEP5,LOC1,0,0
LOC1-ORDID-1,13,9999,-1,oper 9999 title,PENDING,,,,,muh999,CEN14,DEP6,LOC1,0,0
